timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-12-31 16:00:00,28792.58,28837.77,28327.78,28408.72,13071.08,1609433999999.0,373596306.06499,91955.0,5578.768,159422226.51172,0.0
2020-12-31 17:00:00,28407.73,28750.0,28378.1,28603.1,9192.806,1609437599999.0,262872696.10827,70382.0,4555.338,130240417.68188,0.0
2020-12-31 18:00:00,28601.52,28923.71,28501.0,28883.17,8127.876,1609441199999.0,233688898.26173,64817.0,4181.018,120252000.9611,0.0
2020-12-31 19:00:00,28883.17,29037.09,28761.52,28917.08,8298.073,1609444799999.0,239998663.24235,65281.0,4216.835,121994465.11059,0.0
2020-12-31 20:00:00,28917.08,29180.99,28888.0,29155.97,5985.123,1609448399999.0,173600595.15628,53077.0,3132.339,90888722.30606,0.0
2020-12-31 21:00:00,29155.96,29199.49,28915.96,28990.83,7883.536,1609451999999.0,229179765.61405,65760.0,3724.888,108304547.91938,0.0
2020-12-31 22:00:00,28993.77,29175.92,28920.07,29125.25,4290.432,1609455599999.0,124766694.9207,47491.0,1949.491,56697977.63496,0.0
2020-12-31 23:00:00,29123.18,29133.36,28800.0,28951.68,6908.52,1609459199999.0,200177720.04849,57251.0,3151.956,91351921.30781,0.0
2021-01-01 00:00:00,28948.19,29055.0,28706.0,29015.0,8037.588,1609462799999.0,232164597.07348,65942.0,3983.842,115131176.76487,0.0
2021-01-01 01:00:00,29015.0,29546.42,28975.46,29448.4,19543.401,1609466399999.0,573639378.82902,127126.0,10386.352,304866252.4402,0.0
2021-01-01 02:00:00,29443.65,29500.0,29159.16,29237.06,10049.72,1609469999999.0,294664070.72756,69148.0,4513.355,132359304.09729,0.0
2021-01-01 03:00:00,29236.58,29379.41,29174.95,29302.11,5579.452,1609473599999.0,163398239.78693,47082.0,2969.05,86971450.96965,0.0
2021-01-01 04:00:00,29302.11,29422.32,29086.0,29237.07,8351.683,1609477199999.0,244391093.21475,59332.0,3661.258,107189542.60504,0.0
2021-01-01 05:00:00,29237.06,29249.31,29110.89,29213.8,4199.729,1609480799999.0,122573099.21836,36831.0,1893.776,55289041.87259,0.0
2021-01-01 06:00:00,29213.8,29283.0,29112.1,29197.3,3977.249,1609484399999.0,116099514.67533,39276.0,1870.918,54626484.25126,0.0
