date_time,total_return (%),NAV,Drawdown(%)
11/03/2021,-1.117223337,1.00855386,-2.232336858
12/03/2021,1.503333231,1.023715786,-0.762563089
13/03/2021,-3.684756592,0.985994351,-4.419221087
14/03/2021,1.91565796,1.00488263,-2.588220287
15/03/2021,1.64522261,1.021415186,-0.985579662
16/03/2021,-3.146956978,0.98927169,-4.101520872
17/03/2021,-0.269890252,0.986601742,-4.360341519
18/03/2021,0.178691926,0.98836472,-4.189441171
19/03/2021,0.093417285,0.989288023,-4.099937548
20/03/2021,-0.161054335,0.987694732,-4.254388756
21/03/2021,-0.394725026,0.983796054,-4.632320644
22/03/2021,0.262793455,0.986381405,-4.381700625
23/03/2021,-0.559625334,0.980861365,-4.916804852
24/03/2021,3.572237667,1.015900064,-1.52020714
25/03/2021,0.142261264,1.017345297,-1.380108542
26/03/2021,1.286025431,1.030428616,-0.111831658
27/03/2021,0.05194263,1.030963847,-0.059947116
28/03/2021,0.138252906,1.032389185,0
29/03/2021,-1.625502422,1.015607674,-1.625502422
30/03/2021,-0.406137559,1.01148291,-2.025038205
31/03/2021,2.050219438,1.032220529,-0.016336493
01/04/2021,0.199326675,1.03427802,0
02/04/2021,-0.263126211,1.031556563,-0.263126211
03/04/2021,0.520642967,1.03692729,0
04/04/2021,0.319022069,1.040235317,0
05/04/2021,0.877418239,1.049362531,0
06/04/2021,0.899385895,1.05880035,0
07/04/2021,-0.254860229,1.056101889,-0.254860229
08/04/2021,0.055955775,1.056692839,-0.199047063
09/04/2021,-0.106397708,1.055568542,-0.305232989
10/04/2021,-0.241380996,1.0530206,-0.545877211
11/04/2021,-0.149698575,1.051444243,-0.694758615
12/04/2021,0.299029397,1.05458837,-0.397806751
13/04/2021,-0.522908051,1.049073843,-0.918634638
14/04/2021,-1.293950364,1.035499348,-2.200698326
15/04/2021,0.626825739,1.041990124,-1.587667131
16/04/2021,0.363052105,1.045773092,-1.230379085
17/04/2021,-0.643270373,1.039045943,-1.865734794
