Pair,Trading ID,Trading Time,Timestamp(ms),Trading Type,Trading Price,Trading Amount,Trading Cost,PnL,Fee
SOL/USDT:USDT,473990686,2024-09-25 07:35:14.276,1727220914276,buy,152.9,1.75,267.575,0,-0.1337875
SOL/USDT:USDT,474021867,2024-09-25 08:25:14.263,1727223914263,buy,152.33,1.84,280.2872,0,-0.1401436
SOL/USDT:USDT,474700234,2024-09-26 07:35:14.197,1727307314197,sell,147.39,2.37,349.3143,5.8021536887474483,-0.17465715
SOL/USDT:USDT,474793519,2024-09-26 10:20:14.133,1727317214133,sell,148.76,1.06,157.6856,4.0472560801992807,-0.0788428
SOL/USDT:USDT,474920916,2024-09-26 16:20:14.265,1727338814265,buy,151.51,1.55,234.8405,0,-0.11742025
SOL/USDT:USDT,475007148,2024-09-26 19:10:14.279,1727349014279,buy,152.32,1.73,263.5136,0,-0.1317568
SOL/USDT:USDT,478394275,2024-10-01 07:40:14.212,1727739614212,sell,152.3,0.01,1.523,0.062555767404048,-0.0007615
SOL/USDT:USDT,478394276,2024-10-01 07:40:14.212,1727739614212,sell,152.3,2.54,386.842,15.8891649206281996,-0.193421
SOL/USDT:USDT,478415424,2024-10-01 08:00:14.251,1727740814251,sell,152.63,1.94,296.1022,12.7760188763853178,-0.1480511
SOL/USDT:USDT,478415425,2024-10-01 08:00:14.251,1727740814251,sell,152.63,2.66,405.9958,17.517634129476776,-0.2029979
SOL/USDT:USDT,478611927,2024-10-01 14:45:13.973,1727765113973,buy,156.51,1.47,230.0697,0,-0.11503485
SOL/USDT:USDT,478649710,2024-10-01 16:20:14.070,1727770814070,buy,156.84,1.74,272.9016,0,-0.1364508
SOL/USDT:USDT,478688603,2024-10-01 18:05:14.127,1727777114127,buy,156.9,0.01,1.569,0,-0.0007845
SOL/USDT:USDT,478688604,2024-10-01 18:05:14.127,1727777114127,buy,156.9,0.01,1.569,0,-0.0007845
SOL/USDT:USDT,478688605,2024-10-01 18:05:14.127,1727777114127,buy,156.9,1.75,274.575,0,-0.1372875
SOL/USDT:USDT,478756189,2024-10-01 21:20:14.220,1727788814220,buy,155.29,0.35,54.3515,0,-0.02717575
SOL/USDT:USDT,478756190,2024-10-01 21:20:14.220,1727788814220,buy,155.29,0.69,107.1501,0,-0.05357505
SOL/USDT:USDT,478806618,2024-10-01 21:45:15.389,1727790315389,sell,153.01,0.01,1.5301,0.0376443487164276,-0.00076505
